Visual Apparent Magnitude of the Star,Distance Between the Star and the Earth,Standard Error of star ad earth,B-V color index,Spectral type,Absolute Magnitude of the Star,star
8.42,7.16,1.44,1.11,K2III,17.694565,Dwarf
5.75,9.99,0.7,0.24,A3III,15.747828,Dwarf
8.14,1.74,1,1.401,K3III,14.342747,Dwarf
11.54,21.7,3.39,1.34,K7V:,23.222298,Gaint
7.69,41.19,1.08,0.987,K2V,20.76396,Gaint
6.63,6.34,0.59,1.032,K0III,15.640447,Dwarf
8.36,2.84,0.68,-0.025,B8V,15.626592,Gaint
4.26,12.63,0.86,0.942,K0III,14.767016,Dwarf
7.43,16.35,0.66,0.482,F5IV-V,18.49759,Gaint
8.83,0.02,1.21,-0.022,B5V SB,5.33515,Gaint
6.49,98.97,0.56,1.04,K3V,21.467518,Gaint
8.31,9.74,1.03,0.5,F7V,18.252796,Gaint
9.42,8.08,2.01,0.858,G8/K0V,18.957058,Gaint
7.81,7.87,0.65,0.32,F2V,17.289873,Gaint
4.39,12.49,0.98,1.252,K2III,14.872812,Dwarf
6.41,10.15,0.95,0.163,A3V,16.44233,Gaint
4.79,14.65,0.49,0.926,G6III,15.619189,Dwarf
7.04,1.95,0.57,-0.104,B5V,13.490173,Gaint
7.17,2.24,0.95,1.661,K4III,13.92124,Dwarf
7.26,6.6,0.84,0.02,B9.5V,16.35772,Gaint
9.24,0.59,1.48,2.45,C6II,13.094259,Dwarf
8.7,1.26,1.18,1.043,K0III,14.201853,Dwarf
7.88,4.42,0.79,1.183,K2III,16.107111,Dwarf
9.51,8.1,1.07,0.565,G0V,19.052425,Gaint
8.24,2.92,1.15,1.32,K2III,15.566914,Dwarf
7.7,2.08,0.62,1.378,K3III,14.290316,Dwarf
9.95,12.19,1.8,0.807,G8V,20.38002,Gaint
7.96,8.41,1,0.675,G0IV,17.58398,Gaint
9.05,5.27,1.35,0.26,A4IV/V,17.659054,Gaint
8.88,5.36,1.38,1.039,K0III,17.525826,Dwarf
7.7,2.25,1.03,1.013,G8III,14.460913,Dwarf
7.72,4.3,1.06,0.958,G7IV,15.887342,Gaint
8.82,19.22,0.79,0.624,G2V,20.238766,Gaint
8.04,4.6,1.05,1.039,G9III-IV,16.35379,Gaint
8.34,7.29,1.17,1.008,K1III,17.653637,Dwarf
9.43,7.79,1.32,0.293,F0IV,18.887688,Gaint
5.95,10.09,0.67,1.215,K2III,15.969456,Dwarf
8.73,2.96,0.89,-0.058,B8/B9IV,16.086458,Gaint
7.62,17.21,0.76,0.758,G5IV/V,18.798904,Gaint
6.76,6.26,0.94,1.055,K1III,15.742872,Dwarf
8.62,0.86,1.19,1.024,G8III,13.292492,Dwarf
8.66,3.7,1.41,1.052,K0/K1IIIp..,16.501009,Dwarf
8.5,0.04,2.85,1.011,K0III,6.5102997,Dwarf
8.76,1.22,1.21,1.44,K3III,14.191799,Dwarf
7.87,0.9,0.74,1.481,M2/M3III,12.641212,Dwarf
7.4,4.4,0.89,1.064,K0IIIw...,15.617264,Dwarf
9.04,8.27,1.03,0.472,F5V,18.627527,Gaint
8.2,0.25,1.18,1.308,K2/K3III,10.189699,Dwarf
10.02,9.26,1.57,0.651,G2/G3V,19.853056,Gaint
7.91,2.52,0.74,1,K0III,14.917003,Dwarf
7.29,20.2,1.01,0.803,K0III,18.816757,Dwarf
8.97,3.51,1.24,1.226,K0III,16.696537,Dwarf
8.54,3.13,1.17,1.42,K1III,16.017723,Dwarf
8.2,2.24,0.67,1.161,K1/2III(p),14.95124,Dwarf
6.96,2.4,0.85,1.097,G8III,13.861056,Dwarf
8.33,0.64,1.09,1.02,K1III,12.360899,Dwarf
6,2.23,0.49,1.545,M4.5III,12.741524,Dwarf
9.26,6.38,1.35,0.483,F5V,18.284103,Gaint
8.18,16.72,1.1,0.53,F7V,19.29618,Gaint
6.3,7.55,1.09,0.774,G2III,15.689735,Dwarf
9.2,9.8,1.68,0.526,F8V,19.15613,Gaint
5.7,5.35,1.22,0.067,A3Vn,14.341768,Gaint
8.49,2.3,0.82,1.051,K0III,15.298639,Dwarf
8.88,4.32,0.86,1.523,M2III:,17.057419,Dwarf
8.5,-0.62,1.25,0.44,B0.5:III:,12.461958,Dwarf
7.48,0.81,0.74,1.518,K4III,12.022425,Dwarf
7.83,4.82,0.9,1.124,K1III,16.245235,Dwarf
8.15,0.47,1.09,1.376,K2III,11.5104885,Dwarf
10.27,2.61,1.64,0.433,F0IV,17.353203,Gaint
8.66,0.39,1.39,1.068,K0/K1III+..,11.615322,Dwarf
8.36,5.42,0.94,0.236,A7V,17.029995,Gaint
8.07,-0.11,0.8,1.681,K5/M0III,8.276963,Dwarf
8.35,3.5,0.76,1.079,G8III,16.070341,Dwarf
6.33,3.72,0.69,0.021,A1V,14.182714,Gaint
6.86,4.81,0.89,0.001,B8IV,15.270725,Gaint
6.83,1.89,0.6,1.621,M3III,13.212309,Dwarf
8.69,-0.35,0.82,0.074,B8/B9III,11.410339,Dwarf
7.74,2.26,0.63,-0.084,B5II/III,14.510542,Dwarf
7.9,4.38,1.01,1.23,K2III,16.10737,Dwarf
7.26,3,1.06,1.367,K1III,14.645607,Dwarf
7.39,8.43,0.92,1.092,K1III,17.019136,Dwarf
9.22,6.86,0.9,0.368,F3V,18.40162,Gaint
8.97,8.19,1.66,0.608,G1/G2V,18.536419,Gaint
8.06,6.86,0.96,0.352,F0V,17.241621,Gaint
6.88,1.03,0.71,1.32,G5Ib:,11.944186,Dwarf
7.98,6.94,0.99,0.889,G8III/IV,17.186798,Gaint
8.59,1.3,1.12,1.103,K2III,14.159717,Dwarf
8.52,3.13,1.23,1.787,K5/M0III:,15.997723,Dwarf
7.81,16.4,0.7,0.483,F5V,18.884218,Gaint
8.95,3.52,1.74,1.35,G8IV,16.682713,Gaint
7.49,2.05,0.98,1.6,K4III,14.048769,Dwarf
7.24,3.98,0.66,1.02,K0III,15.239415,Dwarf
7.61,1.92,0.64,1.384,K2/K3III,14.026506,Dwarf
8.91,4.24,1.32,1.089,K1III,17.04683,Dwarf
6.98,3.31,1.11,1.6,M5III,14.57914,Dwarf
6.49,13.89,1.2,0.311,A8V,17.20351,Gaint
7.76,3.61,1.38,1.126,K0III,15.547537,Dwarf
6.15,3.91,0.82,1.202,K0III,14.110884,Dwarf
9.13,3.67,1.63,0.427,F5V,16.953331,Gaint
9.54,3.67,1.61,0.546,F3V,17.36333,Gaint
8.35,5.08,0.7,0.318,A9III,16.879318,Dwarf
8.39,1.64,1.14,1.057,G8/K0IIICN.,14.46422,Dwarf
7.96,6.19,1.28,1.004,K0III,16.918453,Dwarf
8.89,15.21,1.79,0.67,G5V,19.800648,Gaint
8.44,1.89,0.71,0.862,G6IV,14.822309,Gaint
8.53,9.99,0.96,0.506,F6V,18.527828,Gaint
7.68,4.9,0.86,1.024,K0III,16.13098,Dwarf
5.38,25.75,1.5,0.387,F5III,17.433886,Dwarf
7.67,1.11,1,1.841,M0III,12.896615,Dwarf
9.52,5.5,1.11,0.373,F5/F6V,18.221813,Gaint
8.56,2.4,1.03,1.329,K2III,15.461057,Dwarf
6.89,1.88,0.84,1.655,M2.5III:,13.26079,Dwarf
7.11,2.46,0.63,-0.1,B5Vn,14.064676,Gaint
4.86,0.7,0.73,0.045,B0Ia,9.08549,Dwarf
8.46,2.71,1.12,0.423,F0III/IV,15.624846,Gaint
9.67,7.68,3.04,0.554,G0V,19.096806,Gaint
8.91,3.09,1.13,0.064,B9.5V,16.359793,Gaint
8.22,0.64,1.12,1.273,K2III,12.2509,Dwarf
6.58,4.78,1.31,1.445,G8III-IV...,14.977139,Gaint
9.01,4.62,1.63,0.53,G0IV,17.33321,Gaint
5.77,10.76,0.87,-0.004,A1V,15.929062,Gaint
8.28,-0.38,0.93,1.357,K2/K3III,11.178917,Dwarf
9.17,16.72,1.33,0.673,G6V,20.28618,Gaint
8.27,3.83,0.75,-0.008,B9V,16.185993,Gaint
9.06,2.95,1.56,1.275,K1III/IV,16.409111,Gaint
7.18,4.95,0.58,1.101,K0III,15.653025,Dwarf
4.87,15.8,0.95,1.156,K3III,15.863285,Dwarf
8.12,5.05,1.36,0.247,A4V,16.636456,Gaint
7.89,6.54,0.68,0.905,G8III/IV,16.967888,Gaint
8.35,-1.17,1.09,0.228,B8III,13.690929,Dwarf
7.53,5.92,0.86,0.235,A2/A3IV,16.39161,Gaint
7.48,18.86,0.92,0.605,G0V,18.857708,Gaint
8.76,1.9,0.77,0.998,G6/G8III:,15.153769,Dwarf
9.52,13.68,2.05,0.838,G8III,20.20043,Dwarf
8.51,7.12,1.02,0.514,F5V,17.7724,Gaint
8.04,15.63,1.08,0.531,F7V,19.009796,Gaint
8.41,5.48,1.08,0.302,A7/A8III,17.103903,Dwarf
8.3,3.71,1.07,0.131,A0V,16.14687,Gaint
6.93,2.41,0.89,-0.005,B8/B9II/III,13.840086,Dwarf
8.12,5.82,1.23,0.064,B9III/IV,16.944614,Gaint
8.27,1.76,0.66,1.718,M3III,14.497564,Dwarf
8.19,3.44,1.14,1.225,K1III,15.872791,Dwarf
8.63,0.94,1.08,0.01,B9III,13.49564,Dwarf
7.6,2.99,0.92,1.532,M0III,14.978355,Dwarf
8.16,0.09,0.95,0,M0Iab,7.9312124,Dwarf
3.35,17.76,0.65,0.856,G4II-III,14.597216,Dwarf
8.46,10.58,2.15,1.2,F8V,18.582428,Gaint
9.68,6.41,0.95,0.692,G3/G5IV/V,18.71429,Gaint
7.84,0.38,0.66,0.691,B1Ia,10.738918,Dwarf
6.18,7.77,0.72,0.315,F2III,15.632105,Dwarf
5.71,5.97,0.7,0.911,G8III,14.589871,Dwarf
3.87,53.54,0.95,0.385,F2III,17.51339,Dwarf
6.42,9.67,0.72,0.116,A1V,16.347132,Gaint
8.65,2.64,1.06,1.217,K2/K3III,15.758019,Dwarf
8.69,1.73,5,0.038,A0V+...,14.88023,Gaint
9.45,11.65,1.71,0.559,F7V+...,19.78163,Gaint
8.72,2.02,0.79,1.336,K3III,15.2467575,Dwarf
8.66,5.73,1.47,0.397,F0/F2IV,17.450773,Gaint
9.09,9.23,0.87,1.014,K1III/IV,18.916008,Gaint
8.45,3.7,1.02,1.345,M5III,16.291008,Dwarf
7.12,2.42,0.69,-0.126,B0.5V,14.039077,Gaint
8.6,6.13,1.41,0.37,F3V,17.537304,Gaint
8.42,7.56,0.88,0.568,F6V,17.812609,Gaint
7.66,17.11,1.02,0.511,F8V,18.82625,Gaint
6.69,3.01,0.65,1.349,K3III,14.082832,Dwarf
8.42,0.35,0.9,1.442,K3/K4III,11.140341,Dwarf
8.27,2.62,1.22,1.611,M2/M3III,15.361507,Dwarf
7.17,8.99,0.8,0.208,A7IV,16.938799,Gaint
7.09,2.99,0.87,1.502,K2III,14.468356,Dwarf
8.14,4.43,1.02,1.09,G8IV,16.37202,Gaint
9.25,16.17,2.7,0.782,G8IV,20.29355,Gaint
5.18,3.45,0.73,-0.035,B2Vne,12.869095,Gaint
8.5,3.43,1.26,1.209,K1III,16.17647,Dwarf
5.99,2.45,0.76,-0.077,B3II/III,12.93583,Dwarf
8.83,6.86,1.22,1.011,K0III,18.01162,Dwarf
9.21,4.3,1.19,0.067,A1/A2V,17.377342,Gaint
6.05,7.47,1.1,-0.065,B9II/III,15.416603,Dwarf
8.96,0.52,1.33,0.946,G8III/IV,12.540016,Gaint
8.68,2.07,0.81,-0.02,A0V,15.259851,Gaint
5.06,5.92,0.53,-0.108,B4V,13.921608,Gaint
9.71,17.32,1.41,0.817,K0V,20.90274,Gaint
9.16,3.56,2.75,1.39,K1III,16.91725,Dwarf
9.52,1.61,1.67,1.788,M4IIIvar,15.55413,Dwarf
7.35,2.84,0.93,1.399,K0II,14.616592,Dwarf
7.53,2.1,0.59,-0.086,B7V,14.141096,Gaint
8.34,1.5,0.94,0.06,A0/A1V,14.220456,Gaint
7.86,0.59,0.66,1.57,K3III,11.71426,Dwarf
7.56,15.93,0.76,0.47,F5IV/V,18.571077,Gaint
8.57,-1.25,1.76,1.37,K3III,14.05455,Dwarf
8.02,3.57,1.18,1.307,K2III,15.783341,Dwarf
8.54,2.82,0.75,0.39,F0III/IV,15.791245,Gaint
9.01,4.43,1.33,1.015,G8/K0IV,17.24202,Gaint
9.08,3.1,1.13,0.684,F8/G0V,16.536808,Gaint
6.15,8.2,0.78,-0.043,B9.5V,15.719069,Gaint
7.72,5.93,0.99,1.051,K2IIICN...,16.585274,Dwarf
9.72,21.01,1.28,0.808,K1V,21.33213,Gaint
8.51,8.96,0.85,0.463,F3V,18.27154,Gaint
7.77,5.68,0.83,1.051,K0III,16.541742,Dwarf
8.6,2.5,0.8,1.086,K0/K1III,15.589701,Dwarf
9.29,14.79,1.15,0.792,K0V,20.13984,Gaint
5.57,10.59,0.64,0.877,G6III,15.694481,Dwarf
7.41,9.73,0.68,0.334,F2IV/V,17.350563,Gaint
6.32,2.67,1.01,1.591,M4III,13.452557,Dwarf
6.37,2.05,0.93,0.87,F5-G1I-II,12.928769,Dwarf
9.52,1.34,0.88,0.49,F8V,15.155524,Gaint
7.36,12.32,0.81,0.255,A4II,17.813053,Dwarf
3.38,24.13,1.29,0.685,G0III-IV,15.292787,Gaint
10.17,4.13,1.86,0.558,G0V,18.24975,Gaint
8.51,6.94,0.8,0.283,A8III,17.716797,Dwarf
8.12,6.81,0.96,0.959,K2III,17.285736,Dwarf
10.18,0.77,1.61,0.58,F5V,14.612453,Gaint
10.52,6.51,1.91,0.339,F4IIIvar,19.587906,Dwarf
6.5,10.85,0.8,0.128,A3Vnn,16.677149,Gaint
9.35,4.15,1.39,-0.067,B5V,17.44024,Gaint
5.86,5.09,0.78,0.013,B9III,14.393589,Dwarf
6.81,18.02,0.51,0.615,G1V,18.088774,Gaint
7.57,2.34,0.95,-0.088,B6V,14.4160795,Gaint
8.23,6.16,1.02,0.445,F3/F5V,17.177902,Gaint
7.76,14.62,1.24,0.578,K0:III:+...,18.584738,Dwarf
5.57,13.37,0.78,0.002,A2V,16.200657,Gaint
6.15,0.96,1.04,1.098,G1Ib,11.061356,Dwarf
8.06,6.33,0.73,0.523,F2III,17.06702,Dwarf
5.76,3.52,0.67,1.605,K5III,13.492714,Dwarf
8.27,0.77,0.81,1.49,M6III,12.702454,Dwarf
8.44,5.74,1.2,1.18,K2III,17.234558,Dwarf
8,2.52,0.71,1.065,K0III,15.007003,Dwarf
9.1,0.81,1.23,1.437,K1/K2III,13.642426,Dwarf
7.24,2.69,0.9,1.527,K4III,14.3887615,Dwarf
8.57,1.8,0.72,0.013,B8V,14.846362,Gaint
6.96,6.15,1.35,0.82,K1/K2III+..,15.904376,Dwarf
8.23,6.41,1.17,1.088,K0III,17.26429,Dwarf
7.56,0.28,1.06,0.133,O7.5III,9.79579,Dwarf
6.43,2.75,0.62,1.07,K2IIIp...,13.626663,Dwarf
8.78,2.76,1.1,0.573,F5V,15.984546,Gaint
8.81,4.48,1.37,1.683,K5III:,17.066391,Dwarf
5.92,7.07,0.9,0.083,A3V,15.167097,Gaint
8.93,7.4,0.86,0.428,F5IV,18.27616,Gaint
8.69,2.81,1.31,1.089,G8III,15.933532,Dwarf
8.19,3.4,1.11,1.2,K1III,15.847394,Dwarf
7.4,4.31,0.7,1.571,M2III,15.572386,Dwarf
8.06,7,1.06,0.314,F0/F2IV/V,17.285492,Gaint
7.93,6.16,0.91,0.109,A1Vn...,16.877903,Gaint
8.43,13.3,0.71,0.788,G5IV/V,19.04926,Gaint
8.65,3.49,0.82,1.096,K0III/IV,16.364128,Gaint
6.44,5.89,0.67,1.486,K3III,15.290577,Dwarf
6.22,8.17,0.84,-0.043,B9V,15.781111,Gaint
8.72,7.67,0.78,0.612,G0V,18.143978,Gaint
8.89,5.21,1.14,0.402,F2V,17.47419,Gaint
6.88,25.56,0.86,0.624,G4IV,18.917805,Gaint
9.53,2.93,1.55,0.403,F0V,16.864338,Gaint
1.85,32.39,0.74,-0.099,B3V SB,14.402054,Gaint
8.53,4.2,1.04,0.336,A7/A8III,16.646246,Dwarf
9.18,2.95,1.49,0.993,G8III,16.52911,Dwarf
8.9,3.4,1.14,0.934,K0V,16.557394,Gaint
8.02,0.81,0.94,1.44,K2/K3V,12.562426,Gaint
7.98,5.24,0.86,0.048,A2V,16.576656,Gaint
5.51,6.91,0.75,1.304,K1III,14.70739,Dwarf
7.24,5.48,0.73,1.141,K1III,15.933903,Dwarf
8.48,9.21,0.68,0.511,F5V,18.301298,Gaint
9.08,11.54,1.47,0.582,F7V,19.39103,Gaint
8.28,1.57,1.14,1.177,K2/K3III,14.259499,Dwarf
8.11,6.61,2.22,0.546,F7V,17.211006,Gaint
7.68,1.23,0.91,0.156,B4III:,13.129526,Dwarf
9.13,2.88,1.1,0.972,G8IV,16.426964,Gaint
9.42,11.31,1.87,0.843,K0III,19.687313,Dwarf
9.8,11.47,1.59,0.845,G8/K0V:,20.097816,Gaint
6.61,4.39,0.48,-0.038,B8V,14.822323,Gaint
5.56,10.34,0.69,0.926,G6/G8III,15.632603,Dwarf
9.04,5.44,0.84,0.443,F5V,17.717995,Gaint
8.32,4.38,0.72,1.172,K1III,16.52737,Dwarf
8.55,4.51,0.75,0.364,F0V,16.820883,Gaint
9.15,4.71,3.17,0,B8/B9Ib,17.515104,Dwarf
8.55,3.91,1.05,0.211,A3IV,16.510883,Gaint
7.92,3.49,0.64,1.049,K0III,15.634128,Dwarf
8.1,2.03,0.69,1.495,K5III,14.637481,Dwarf
7.52,23.87,0.85,0.636,G5V,19.409262,Gaint
8.29,2.3,1.03,0.993,G8Ib/II,15.098639,Dwarf
7.6,2.84,0.98,1.755,M0III,14.866592,Dwarf
8.3,2.25,0.76,1.326,K2/K3III,15.060913,Dwarf
9.15,11.57,1.27,0.612,G8IV:+...,19.466667,Gaint
8.94,7.59,1.02,0.482,F5V,18.34121,Gaint
8.25,1.78,0.79,-0.014,B9III,14.5021,Dwarf
8,15.43,1.92,0.588,F8/G0V,18.94183,Gaint
8.74,1.46,1.02,1.129,K0III,14.561764,Dwarf
6.33,8.26,0.63,0.947,G6/G8III,15.9149,Dwarf
9.1,1.69,1.04,-0.014,B9V,15.239433,Gaint
9.21,12.71,1.29,0.611,G1V,19.730728,Gaint
7.86,7.04,0.89,0.49,F6V,17.097864,Gaint
8.12,2.48,0.71,1.557,M1III,15.092258,Dwarf
8.36,4.14,0.83,0.095,A1V,16.445002,Gaint
8.35,5.51,1.07,0.398,F2/F3V,17.05576,Gaint
5.95,32.6,1.7,0.58,G0V,18.516087,Gaint
9.46,5.86,1.28,0.823,G8V,18.299488,Gaint
8.18,4.27,1.12,1.172,K1III,16.33214,Dwarf
9.89,0.68,1.42,0.354,A8/A9V,14.052546,Gaint
9.19,-0.76,1.23,1.547,M2III:,13.594068,Dwarf
8.8,2.61,1.1,0.143,B9.5V,15.883203,Gaint
8.15,1.84,0.92,1.01,K0III,14.474089,Dwarf
9.47,6.56,0.92,0.403,F2V,18.55452,Gaint
7.85,7.96,0.76,0.262,A7/A8III/IV,17.354565,Gaint
6.4,9.1,0.58,0.167,A3Vs...,16.195208,Gaint
7.29,5.44,0.96,1.429,K4III,15.967995,Dwarf
7.53,2.45,0.87,1.595,K5/M0III,14.47583,Dwarf
6.18,4.91,0.75,0.892,G8III,14.635408,Dwarf
8.22,4.12,1.11,1.011,G8III/IV,16.294487,Gaint
8.94,5.56,1.79,0.476,F3/F5V,17.665375,Gaint
5.83,4.33,0.83,1.11,K0III,14.01244,Dwarf
7.62,10.31,0.92,0.281,F0V,17.686295,Gaint
8.68,1.85,1.04,1.484,K5III,15.01586,Dwarf
7.2,1.97,0.61,1.42,K3III,13.672331,Dwarf
8.55,6.54,1.2,0.427,F0V,17.627888,Gaint
7.19,2.46,0.54,1.753,K4III,14.144676,Dwarf
9.02,1.09,1.07,0.997,K0III,14.207132,Dwarf
8.51,8.43,1.24,0.307,A5III,18.139137,Dwarf
7.5,4.91,1.29,0.237,A1/A2V+...,15.955408,Gaint
8.96,-0.43,1.22,0.467,B0.5V,12.127342,Gaint
7.92,1.4,1.02,0.571,O9.5Iab,13.6506405,Dwarf
2.69,6.37,0.96,1.49,K3IIvar,11.710697,Dwarf
9.31,9.26,1.37,0.567,G1V,19.143055,Gaint
8.77,2.73,0.71,0.233,A1IV/V,15.950814,Gaint
9.22,-0.51,1.21,-0.024,O9.5V:,12.757851,Gaint
8.67,6.31,0.93,0.427,F2IV,17.670147,Gaint
8.03,2.04,0.6,0.009,B8/B9IV,14.578151,Gaint
5.77,3.17,0.47,-0.082,B2IVnpe,13.275297,Gaint
9.77,-1.15,1.61,0.162,B8V,15.073489,Gaint
9.01,9.18,1.54,0.579,F7V,18.824215,Gaint
8.97,7.18,1.37,0.54,F6V,18.250622,Gaint
6.48,11.48,0.83,0.09,A1V,16.779709,Gaint
7.97,40.02,1,0.663,G5V,20.981384,Gaint
8.58,8.01,0.93,0.456,F3/F5V,18.098164,Gaint
7.4,7.39,0.96,0.266,A7V,16.743223,Gaint
7.23,5.98,0.6,0.01,B9.5V,16.113506,Gaint
9.52,6.72,1.42,0.554,F5/F6V,18.656847,Gaint
9.25,5.36,1.06,0.424,F0/F2V,17.895824,Gaint
8.85,2.65,1.29,1.657,M1III,15.96623,Dwarf
6.44,2.56,0.79,-0.067,B9IIIn,13.481199,Dwarf
5.63,10.73,0.68,0.182,A7IV,15.782998,Gaint
8.94,3.33,1.53,1.16,K4III,16.552221,Dwarf
8.43,2.42,1.16,0.199,A1V,15.349077,Gaint
4.64,0.1,0.89,0.236,B2Iavar,4.64,Dwarf
9.73,11.48,0.85,0.699,G5V,20.029709,Gaint
9.05,2.28,1.58,1.097,K0III,15.839674,Dwarf
8.33,3.65,0.71,0.939,G6/G8III,16.141464,Dwarf
7.87,4.64,0.96,1.569,K5/M0III,16.20259,Dwarf
4.67,4.97,0.82,1.254,K0II-III,13.151781,Dwarf
8.3,2.78,1.05,1.298,K0III,15.520225,Dwarf
6.64,6.49,0.65,0.422,F4II,15.701223,Dwarf
5.88,2.37,0.61,1.665,M0III,12.753742,Dwarf
7.57,8.29,1.04,1.118,G9III,17.162773,Dwarf
8.64,0.65,1.16,0.95,G8III/IV,12.704567,Gaint
6.71,4.51,0.8,1.607,M2III,14.980883,Dwarf
7.63,3.65,0.82,1.343,K2III,15.441465,Dwarf
8.39,4.21,0.98,0.145,A2/A3V,16.51141,Gaint
7.6,6.63,0.95,0.193,A5IV,16.707567,Gaint
7.31,3.31,0.68,-0.002,B9IV/V,14.90914,Gaint
5.62,11.9,0.73,0.956,K0III,15.997735,Dwarf
4.61,13.11,0.79,-0.001,A1V,15.198015,Gaint
8.95,3.81,1.06,0.484,F5V,16.854626,Gaint
8.11,1.6,1.16,0.148,B7III,14.1306,Dwarf
9.22,6.94,0.89,0.55,F5/F6V,18.426798,Gaint
8.23,3.77,1.11,1.133,K1III,16.111706,Dwarf
8.29,24.75,1.22,0.684,G6Vw...,20.257877,Gaint
9.32,3.45,1.49,1.287,K3III:,17.009094,Dwarf
6.94,3.12,0.89,1.693,K2/K3III,14.410772,Dwarf
8.61,6.78,1.09,0.205,A6Vn,17.766148,Gaint
8.57,2.43,1.26,0.505,F2V,15.498032,Gaint
9.23,24.15,1.32,0.838,K1V,21.144585,Gaint
6.18,13.47,0.83,0.234,A3V,16.826838,Gaint
5.72,10.63,0.87,1.298,K3II,15.852665,Dwarf
6.36,6.1,0.68,1.162,K2III,15.28665,Dwarf
8.01,-3.65,7.6,0.348,B2II:,15.821465,Dwarf
5.86,3.42,0.65,-0.079,B7III,13.53013,Dwarf
0.03,128.93,0.55,-0.001,A0Vvar,15.581769,Gaint
9.06,6.9,0.78,0.403,F3V,18.254246,Gaint
8.43,3.17,1.27,1.547,K2III,15.935297,Dwarf
8.78,17.28,1.23,0.738,G8IV/V,19.967716,Gaint
8.75,6.32,1.17,0.3,A9/F0IV/V,17.753586,Gaint
9.17,8.49,0.93,0.574,F7/F8IV/V,18.814537,Gaint
7.63,0.58,0.98,0.34,B9Ib,11.44714,Dwarf
7.49,3.45,0.76,0.915,G8/K0III,15.179095,Dwarf
6.57,10.1,0.81,0.964,G8IV,16.591606,Gaint
7.52,5.73,1.04,1.026,G8III,16.310774,Dwarf
8.97,10.88,1.29,0.474,F3/F5V,19.153145,Gaint
9.44,13.19,1.23,0.766,K0V,20.041224,Gaint
6.41,20.4,1.43,0.569,F6III,17.95815,Dwarf
8.14,8.25,0.99,0.515,F5V,17.722271,Gaint
5.74,0.89,0.89,0.017,B2II,10.48695,Dwarf
8.61,4.83,0.91,0.46,F5V,17.029736,Gaint
9.08,3.49,0.87,1.139,G8III,16.794128,Dwarf
8.31,5.12,1.11,0.969,G6/G8IV/Vw.,16.85635,Gaint
8.48,11.6,1.39,0.445,F5V,18.802288,Gaint
7.64,12.56,0.57,0.535,F7V,18.134947,Gaint
7.74,1.87,1.11,1.364,K2III,14.099208,Dwarf
6.39,3.78,0.5,-0.074,B6V,14.277458,Gaint
8.69,2.97,0.76,0.913,G8III,16.053782,Dwarf
8.23,2.82,2.96,1.049,K0III,15.481245,Dwarf
9.56,9.64,1.47,0.61,G3V,19.480385,Gaint
7.39,2,0.61,1.541,K5III,13.89515,Dwarf
7.79,7.23,0.82,0.107,A0/A1V,17.085691,Gaint
9.05,1.58,1.21,-0.15,B2III,15.043285,Dwarf
9.68,11.01,1.4,0.733,G5V,19.888937,Gaint
7.75,3.17,0.81,0.049,A0V,15.255297,Gaint
6.7,7.54,0.6,0.122,A3V,16.086857,Gaint
8.28,1.03,1.01,0.092,B0IIIp,13.344186,Dwarf
9.1,7.1,1.19,0.918,K1III,18.356293,Dwarf
9.5,14.03,4.31,0.722,G8V,20.235287,Gaint
8.31,1.05,1.01,-0.02,B8IV,13.415947,Gaint
4.28,3.03,0.54,1.488,K3III,11.687214,Dwarf
8.56,3.71,0.98,1.18,K2III,16.40687,Dwarf
7.58,1.25,0.93,0.716,B1.5Iab,13.06455,Dwarf
8.59,1.9,0.76,1.04,K1/K2IIIp,14.983768,Dwarf
7.43,4.22,0.69,1.216,K2III,15.556562,Dwarf
7.87,11.55,1.86,0.345,A7III+...,18.18291,Dwarf
6.32,9.9,0.54,0.962,K0III,16.298176,Dwarf
7.5,13.52,1.04,0.461,F5V,18.154884,Gaint
5.42,14.57,1.34,0.414,F3V,16.237297,Gaint
8.69,-0.44,1.08,-0.064,O7III,11.907263,Dwarf
8.02,22.46,1.12,0.626,G0V,19.77705,Gaint
8.57,3.33,1.2,1.084,G8/K0III,16.18222,Dwarf
8.27,1.8,1.2,1.663,M2III,14.546363,Dwarf
7.98,2.77,1.31,0.287,A7IV,15.1924,Gaint
8.05,2.08,0.92,1.461,K3III,14.640316,Dwarf
9.37,1.68,1.2,1.008,K0III,15.496546,Dwarf
8.18,0.49,1.33,1.868,K2III:,11.6309805,Dwarf
8.38,14.94,1.01,0.67,G3V,19.251755,Gaint
8.35,4.99,1.22,0.331,F2IV,16.840504,Gaint
8.28,15.51,0.85,0.592,G0V,19.233059,Gaint
7.81,3.8,0.68,-0.012,A0V,15.708918,Gaint
7.72,2.51,0.98,1.57,K5III,14.718369,Dwarf
8.88,2.18,0.8,0.059,A0III/IV,15.572283,Gaint
9.06,10.55,1.37,0.833,K0V,19.176262,Gaint
8.19,2.79,1.14,0.015,B8IV/V,15.41802,Gaint
7.57,4.04,0.88,1.013,K0III,15.601908,Dwarf
8.14,13.08,0.73,0.695,G3IV/V,18.723038,Gaint
8.91,-2.44,1.21,2.503,M3Iab,15.84695,Dwarf
8.23,1.13,1.08,2.42,C5II,13.495392,Dwarf
8.76,2.78,0.71,0.071,A0/A1V,15.980225,Gaint
7.74,2.81,0.8,0.95,G8III,14.983532,Dwarf
